publish_date,headline_category,headline_text
2002-05-30 00:00:00,ONGC,ONGC; Essar asked to give product sourcing details
2002-05-30 00:00:00,HCL,HCL Comnet bags Tata's VSAT order
2002-05-31 00:00:00,HDFC,HDFC Bank not eyeing Centurion Bank
2002-05-31 00:00:00,ITC,ED chargesheet against 6 former ITC officials
2002-06-02 00:00:00,HCL,HCLT acquires IT firm
2002-06-03 00:00:00,ONGC,BHEL receives Rs 230 cr order from ONGC
2002-06-04 00:00:00,HCL,Indiatimes; HCL launch calling card Valufon
2002-06-05 00:00:00,HDFC,HDFC bank opens representative office in Dubai
2002-06-05 00:00:00,HCL,Indiatimes; HCL launch Valufon
2002-06-05 00:00:00,ICICI,ICICI Info eyes more acquisitions
2002-06-05 00:00:00,ONGC,ONGC to invest $21.28 mn for Tapti Gas field
2002-06-08 00:00:00,HDFC,HDFC freezes marketing moves
2002-06-09 00:00:00,HDFC,HDFC plans to acquire another pvt bank
2002-06-10 00:00:00,NTPC,NTPC threat bid to harass Bihar: Rajak
2002-06-11 00:00:00,SBI,SBI to revamp branch network
2002-06-12 00:00:00,HCL,Promoters up stake in HCL Tech; HCL Insys
2002-06-13 00:00:00,HCL,Govt shortlists 4 bidders for HCL stake
2002-06-14 00:00:00,ICICI,ICICI Bank to focus on cross selling retail products
2002-06-15 00:00:00,NTPC,NTPC ultimatum to JSEB
2002-06-16 00:00:00,ICICI,ICICI Bank plans 'six sigma' scheme
2002-06-17 00:00:00,SBI,SBI to introduce two new schemes in Kerala
2002-06-17 00:00:00,ICICI,ICICI Bank subscribes to 5 yr NCDs of RIL
2002-06-17 00:00:00,HDFC,HDFC Standard Life enters insurance fray in Goa
2002-06-18 00:00:00,SBI,SBI net set to cross Rs 3;000-cr mark
2002-06-20 00:00:00,HCL,GHCL to absorb Meenakshi Mills
2002-06-20 00:00:00,SBI,SBI net profit up by 51.75%
2002-06-23 00:00:00,ITC,UTI must be allowed to sell ITC holding
2002-06-25 00:00:00,ONGC,ONGC wants to sell LPG directly to bulk customers
2002-07-03 00:00:00,SBI,Chandigarh SBI circle net profit up by 58%
2002-07-03 00:00:00,NTPC,Rabri calls meeting over NTPC threat to cut off power
2002-07-05 00:00:00,HDFC,HDFC Standard Life starts Kochi operations
2002-07-05 00:00:00,ITC,BAT not averse to raising stake in ITC
2002-07-08 00:00:00,ONGC,ONGC has plans to buy AV Birla's stake in MRPL
2002-07-08 00:00:00,ONGC,ONGC upholds decision to acquire Talisman's stake
2002-07-08 00:00:00,HDFC,HDFC offers loans to docs
2002-07-09 00:00:00,HCL,HCL Insys makes handhelds and notebooks lighter
2002-07-09 00:00:00,SBI,Rs 5.75 lakh looted from Gopalganj SBI
2002-07-10 00:00:00,NTPC,NTPC chairman to meet CM on July 11 to discuss dues
2002-07-10 00:00:00,SBI,HC hauls up SBI chief; 10 staffers for contempt
2002-07-11 00:00:00,NTPC,NTPC decision not justified: Power minister
2002-07-12 00:00:00,HCL,Sun Micro enters into agreement with HCL Insys
2002-07-13 00:00:00,NTPC,NTPC cuts Bihar's power quota
2002-07-13 00:00:00,NTPC,Power cuts to go up as NTPC cuts Bihar supply
2002-07-14 00:00:00,NTPC,NTPC to set up a 1000 MW power plant near Nagpur
2002-07-14 00:00:00,NTPC,NTPC restores Bihar's power quota
2002-07-14 00:00:00,ONGC,Emission of gases from well good sign: ONGC
2002-07-15 00:00:00,NTPC,Govt looking for Rs 900 cr to pay off NTPC
2002-07-15 00:00:00,ONGC,ONGC may go in for an IPO in 2-3 yrs
2002-07-16 00:00:00,ONGC,ONGC; Karnataka in semis of Murugappa Gold Cup
